Date,Open,High,Low,Close,Adj Close,Volume
2021-05-05,245.720001,250.820007,242.679993,244.899994,244.899994,2771100
2021-05-06,243.000000,245.380005,234.199997,238.250000,238.250000,4643800
2021-05-07,242.990005,248.789993,238.020004,240.279999,240.279999,2281400
2021-05-10,234.990005,234.990005,220.664993,222.550003,222.550003,6593100
2021-05-11,212.690002,229.811996,212.550003,228.770004,228.770004,5050600
2021-05-12,223.380005,224.860001,213.369995,213.419998,213.419998,4473700
2021-05-13,217.009995,217.789993,200.000000,202.339996,202.339996,5779500
2021-05-14,207.320007,218.274994,207.320007,216.690002,216.690002,3488000
2021-05-17,216.740005,221.779999,213.929993,218.839996,218.839996,3803400
2021-05-18,206.750000,228.110001,203.960007,228.000000,228.000000,9603700
2021-05-19,219.500000,226.679993,218.320007,226.660004,226.660004,3922700
2021-05-20,230.740005,246.750000,230.589996,246.149994,246.149994,6234700
2021-05-21,246.149994,250.250000,242.500000,246.330002,246.330002,4539900
2021-05-24,249.500000,259.070007,249.500000,254.000000,254.000000,4251200
2021-05-25,256.730011,258.000000,249.300003,249.539993,249.539993,2027100
2021-05-26,251.800003,254.270004,245.889999,246.229996,246.229996,1988500
2021-05-27,247.990005,261.500000,241.449997,260.619995,260.619995,6829000
2021-05-28,255.509995,261.339996,252.009995,253.240005,253.240005,3174800
2021-06-01,257.700012,262.890015,253.042999,257.540009,257.540009,2934400
2021-06-02,256.529999,261.970001,255.839996,258.350006,258.350006,1507200
2021-06-03,256.160004,257.644989,248.604996,249.600006,249.600006,2181400
2021-06-04,252.000000,260.524994,251.600006,256.820007,256.820007,1953400
2021-06-07,256.380005,258.000000,253.199997,257.320007,257.320007,1987900
2021-06-08,260.000000,270.000000,256.880005,264.100006,264.100006,3611200
2021-06-09,265.000000,269.730011,262.226013,263.079987,263.079987,2201900
2021-06-10,268.500000,272.500000,266.209991,271.119995,271.119995,3428900
2021-06-11,272.000000,278.519989,270.179993,277.690002,277.690002,3048500
2021-06-14,278.880005,282.760010,275.140015,277.070007,277.070007,2801000
2021-06-15,280.000000,280.000000,264.369995,271.190002,271.190002,2872200
2021-06-16,270.670013,276.940002,269.130005,274.779999,274.779999,2350600
2021-06-17,273.190002,285.390015,273.000000,283.239990,283.239990,4189400
2021-06-18,284.600006,286.600006,280.000000,282.489990,282.489990,2529900
2021-06-21,279.029999,281.799988,272.940002,281.059998,281.059998,1721600
2021-06-22,281.000000,282.799988,276.019989,280.869995,280.869995,1666800
2021-06-23,283.500000,286.000000,279.660004,280.880005,280.880005,2797100
2021-06-24,285.720001,297.750000,284.049988,289.420013,289.420013,4060600
2021-06-25,290.010010,292.649994,282.850006,283.350006,283.350006,3565600
2021-06-28,284.540009,287.809998,281.119995,281.119995,281.119995,2475200
2021-06-29,282.000000,287.390015,276.509003,287.190002,287.190002,3092200
2021-06-30,288.019989,289.980011,274.440002,274.600006,274.600006,4929500
2021-07-01,274.600006,278.980011,269.769989,272.309998,272.309998,2946300
2021-07-02,273.910004,279.649994,273.010010,273.700012,273.700012,1873300
2021-07-06,275.000000,279.230011,271.559998,275.679993,275.679993,2522900
2021-07-07,276.250000,277.200012,264.359985,267.859985,267.859985,2792000
2021-07-08,254.809998,268.579987,253.029999,267.000000,267.000000,3079900
2021-07-09,268.380005,278.119995,267.920013,275.700012,275.700012,1969100
2021-07-12,277.920013,281.450012,272.600006,275.859985,275.859985,1098900
2021-07-13,278.730011,286.600006,276.239990,280.940002,280.940002,2127200
2021-07-14,285.000000,288.424988,274.220001,275.579987,275.579987,1910700
2021-07-15,272.200012,276.839996,264.959991,268.829987,268.829987,2111600
2021-07-16,271.369995,271.869995,264.519989,267.600006,267.600006,1517600
